# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	239737
#@/user_id	0278165e-67a8-4678-b168-f946133cb532
bai fen zhi 	百分之	c=1 d=7.0271e-203 t=239737
bai gei 	白給	c=5 d=1.83214e-182 t=239737
bai hua qian 	白花錢	c=1 d=1.05471e-09 t=239737
bai jian 	拜見	c=1 d=5.01731e-34 t=239737
bai jian 	擺件	c=1 d=8.73547e-175 t=239737
bai jie bu 	百潔布	c=2 d=0 t=239737
bai jiu 	白酒	c=1 d=0 t=239737
bai ka 	白卡	c=1 d=1.35083e-126 t=239737
bai le 	百樂	c=3 d=4.72108e-153 t=239737
bai mang 	百忙	c=1 d=8.04166e-172 t=239737
bai miao 	白描	c=1 d=1.39885e-37 t=239737
bai ming dan 	白名單	c=11 d=6.1983e-152 t=239737
bai nian 	白念	c=2 d=3.69975e-09 t=239737
bai nian 	百年	c=2 d=3.7183e-09 t=239737
bai pao 	白跑	c=2 d=2.53685e-99 t=239737
bai pi shu 	白皮書	c=10 d=1.60463e-34 t=239737
bai piao 	白嫖	c=21 d=2.61164e-48 t=239737
bai piao wang 	白嫖王	c=1 d=0 t=239737
bai se 	白色	c=5 d=2.36014e-220 t=239737
bai sha 	白鯊	c=1 d=0 t=239737
bai she 	擺設	c=1 d=2.60091e-157 t=239737
bai she 	白蛇	c=1 d=0 t=239737
bai shi 	白石	c=2 d=4.15887e-91 t=239737
bai shi shi 	擺事實	c=1 d=0.0188734 t=239737
bai shou 	百獸	c=1 d=0 t=239737
bai song 	白送	c=2 d=5.98315e-17 t=239737
bai sui shan 	百岁山	c=1 d=0 t=239737
bai tan 	擺攤	c=4 d=4.64898e-190 t=239737
bai tian 	白天	c=9 d=2.49805e-06 t=239737
bai tiao 	白條	c=1 d=0 t=239737
bai wan 	百萬	c=4 d=0 t=239737
bai xiang guo 	百香果	c=1 d=4.753e-15 t=239737
bai xing 	百姓	c=1 d=4.95609e-66 t=239737
bai xue zheng 	敗血症	c=1 d=0 t=239737
bai ye 	白夜	c=3 d=8.4646e-141 t=239737
bai ye xiao he 	敗也蕭何	c=1 d=6.10901e-56 t=239737
bai yin 	白銀	c=1 d=3.58297e-14 t=239737
bai yu 	白玉	c=1 d=0 t=239737
bai zhan ting 	拜占庭	c=1 d=4.35118e-64 t=239737
bai zhe teng 	白折騰	c=1 d=4.92486e-168 t=239737
bai zheng 	擺正	c=1 d=6.86683e-20 t=239737
ban 	伴	c=1 d=0 t=239737
ban 	半	c=8 d=1.85174e-72 t=239737
ban 	搬	c=14 d=3.59147e-71 t=239737
ban 	板	c=15 d=9.65543e-59 t=239737
ban 	版	c=85 d=7.30162e-07 t=239737
ban 	班	c=22 d=8.69654e-05 t=239737
ban 	辦	c=41 d=7.33822e-07 t=239737
ban ban 	般般	c=4 d=0 t=239737
ban ben 	版本	c=412 d=0.368412 t=239737
ban ben hao 	版本號	c=2 d=0 t=239737
ban cheng pin 	半成品	c=1 d=0 t=239737
ban dao 	半島	c=5 d=0 t=239737
ban dao 	搬到	c=2 d=8.21889e-105 t=239737
ban dian shi qing 	辦點事情	c=1 d=0 t=239737
ban fa 	辦法	c=66 d=5.97384e-16 t=239737
ban ge 	半個	c=9 d=4.45085e-07 t=239737
ban ge 	辦個	c=1 d=2.38807e-182 t=239737
ban gong 	辦公	c=28 d=3.11836e-40 t=239737
ban gong lou 	辦公樓	c=1 d=3.63774e-16 t=239737
ban gong shi 	辦公室	c=84 d=1.15702e-10 t=239737
ban gong yong 	辦公用	c=1 d=1.24545e-141 t=239737
ban gong yong pin 	辦公用品	c=1 d=3.06988e-78 t=239737
ban guo lai 	搬過來	c=1 d=0 t=239737
ban guo qu 	搬過去	c=2 d=1.62187e-189 t=239737
ban hao 	辦好	c=1 d=0 t=239737
ban hui 	班會	c=1 d=6.31524e-123 t=239737
ban jia 	搬家	c=8 d=1.08861e-87 t=239737
ban jin 	半斤	c=1 d=4.09463e-290 t=239737
ban jing 	半徑	c=1 d=1.39292e-134 t=239737
ban ka 	板卡	c=3 d=0 t=239737
ban ka 	辦卡	c=1 d=7.37231e-179 t=239737
ban kuai 	板塊	c=1 d=0 t=239737
ban la zi 	半拉子	c=2 d=1.47133e-190 t=239737
ban li 	班裏	c=2 d=9.93764e-45 t=239737
ban li 	辦理	c=4 d=1.27534e-288 t=239737
ban lu 	半路	c=1 d=2.42463e-08 t=239737
ban ma 	斑馬	c=2 d=3.48433e-156 t=239737
ban mao qian 	半毛錢	c=4 d=1.22653e-108 t=239737
ban ni lu 	班尼路	c=1 d=2.05192e-15 t=239737
ban nian 	半年	c=12 d=1.61795e-43 t=239737
ban nian duo 	半年多	c=1 d=5.02985e-269 t=239737
ban nian fu 	半年付	c=1 d=0 t=239737
ban piao 	半票	c=2 d=0 t=239737
ban qi lai 	扳起來	c=1 d=0 t=239737
ban qian 	搬遷	c=1 d=3.89528e-56 t=239737
ban qu 	搬去	c=1 d=1.0586e-111 t=239737
ban quan 	版權	c=9 d=7.22727e-63 t=239737
ban quan fa 	版權法	c=1 d=1.15833e-82 t=239737
ban shang 	班上	c=2 d=8.10867e-152 t=239737
ban shang ding ding 	板上釘釘	c=1 d=7.4675e-271 t=239737
ban shuai qi 	半衰期	c=1 d=6.57569e-216 t=239737
ban shuang gong 	半雙工	c=1 d=0 t=239737
ban si bu huo 	半死不活	c=1 d=3.80052e-31 t=239737
ban sui 	半歲	c=1 d=1.21537e-265 t=239737
ban tian 	半天	c=10 d=6.10214e-06 t=239737
ban tian ke 	半天課	c=1 d=6.09778e-05 t=239737
ban wa gong 	搬瓦工	c=1 d=0 t=239737
ban wan 	辦完	c=1 d=2.22208e-158 t=239737
ban xia lai 	搬下來	c=1 d=0 t=239737
ban xia lai 	辦下來	c=1 d=0 t=239737
ban xian 	半仙	c=1 d=5.19181e-142 t=239737
ban xiao shi 	半小時	c=9 d=2.74747e-08 t=239737
ban ye 	半夜	c=4 d=1.14906e-17 t=239737
ban yi xia 	辦一下	c=1 d=0 t=239737
ban yuan 	半圓	c=1 d=0 t=239737
ban yue 	半月	c=1 d=0 t=239737
ban yun 	拌勻	c=1 d=8.18493e-262 t=239737
ban yun 	搬運	c=1 d=5.43223e-57 t=239737
ban yun gong 	搬運工	c=1 d=9.2281e-144 t=239737
ban zhou 	半周	c=1 d=0 t=239737
ban zhu chi lao hu 	扮豬喫老虎	c=1 d=9.01617e-106 t=239737
ban zhu ren 	班主任	c=3 d=2.0221e-38 t=239737
ban zhuan 	搬磚	c=2 d=1.47744e-33 t=239737
ban zi 	板子	c=4 d=5.24969e-96 t=239737
ban zou 	伴奏	c=12 d=1.21142e-125 t=239737
ban zou 	搬走	c=2 d=0 t=239737
bang 	傍	c=1 d=1.59025e-222 t=239737
bang 	幫	c=48 d=1.44543e-40 t=239737
bang 	棒	c=0 d=5.02158e-45 t=239737
bang 	榜	c=2 d=7.08083e-175 t=239737
bang 	泵	c=1 d=5.12884e-263 t=239737
bang 	綁	c=14 d=4.06751e-65 t=239737
bang 	鎊	c=1 d=0 t=239737
bang bang tang 	棒棒糖	c=1 d=6.78513e-85 t=239737
bang dao 	幫到	c=1 d=0 t=239737
bang dao 	綁到	c=2 d=0 t=239737
bang dian mang 	幫點忙	c=1 d=0 t=239737
bang ding 	綁定	c=27 d=8.6818e-65 t=239737
bang jin 	綁緊	c=1 d=1.82159e-261 t=239737
bang mang 	幫忙	c=42 d=0.733447 t=239737
bang ni 	幫你	c=4 d=5.5533e-81 t=239737
bang ren 	幫人	c=0 d=0 t=239737
bang ren jiu 	幫人就	c=1 d=0 t=239737
bang shou 	榜首	c=2 d=1.0116e-18 t=239737
bang si 	綁死	c=1 d=2.0833e-164 t=239737
bang wo 	幫我	c=3 d=0.000188766 t=239737
bang xian 	綁線	c=2 d=0 t=239737
bang zai 	綁在	c=1 d=0 t=239737
bang zhu 	幫助	c=15 d=7.58103e-37 t=239737
bao 	保	c=16 d=2.55286e-26 t=239737
bao 	包	c=54 d=3.56956e-21 t=239737
bao 	堡	c=3 d=0 t=239737
bao 	報	c=34 d=0.00469307 t=239737
bao 	寶	c=8 d=1.68045e-34 t=239737
bao 	抱	c=1 d=0 t=239737
bao 	暴	c=1 d=0 t=239737
bao 	煲	c=1 d=0 t=239737
bao 	爆	c=4 d=9.92042e-54 t=239737
bao 	薄	c=3 d=2.18742e-33 t=239737
bao 	豹	c=2 d=4.23454e-156 t=239737
bao 	鮑	c=1 d=0 t=239737
bao bao 	寶寶	c=3 d=4.45771e-172 t=239737
bao bao 	薄薄	c=1 d=5.82295e-80 t=239737
bao bei 	報備	c=1 d=2.62802e-132 t=239737
bao bei zi 	薄被子	c=1 d=2.19838e-32 t=239737
bao biao 	報表	c=20 d=2.08936e-33 t=239737
bao che 	包車	c=2 d=1.54499e-294 t=239737
bao chi 	保持	c=18 d=1.7042e-07 t=239737
bao chi yi zhi 	保持一致	c=1 d=2.17769e-09 t=239737
bao cun 	保存	c=39 d=0.000483239 t=239737
bao cuo 	報錯	c=11 d=5.71969e-46 t=239737
bao dao 	刨刀	c=1 d=0 t=239737
bao dao 	報道	c=1 d=0 t=239737
bao di 	保底	c=2 d=6.20702e-08 t=239737
bao er mo 	鮑爾默	c=1 d=0 t=239737
bao er ye 	寶二爺	c=2 d=1.10191e-24 t=239737
bao fa 	爆發	c=9 d=0.00444934 t=239737
bao fa hu 	暴發戶	c=3 d=4.65477e-34 t=239737
bao fei 	保費	c=2 d=1.48666e-18 t=239737
bao fo jiao 	抱佛腳	c=0 d=0 t=239737
bao fu 	報復	c=1 d=0 t=239737
bao fu 	暴富	c=5 d=0.00465413 t=239737
bao gao 	報告	c=50 d=1.06216e-33 t=239737
bao ge 	抱個	c=1 d=2.33092e-103 t=239737
bao guan 	保管	c=5 d=9.87934e-64 t=239737
bao guan 	報關	c=2 d=1.25443e-196 t=239737
bao guang 	曝光	c=1 d=0 t=239737
bao guo 	包裹	c=5 d=2.11333e-09 t=239737
bao han 	包含	c=34 d=2.42629e-16 t=239737
bao hang 	暴行	c=2 d=8.28039e-222 t=239737
bao hu 	保護	c=25 d=7.4077e-59 t=239737
bao hu fei 	保護費	c=1 d=7.33507e-237 t=239737
bao hu zhao 	保護罩	c=1 d=2.22419e-81 t=239737
bao huo 	保活	c=1 d=0 t=239737
bao huo 	包活	c=2 d=0 t=239737
bao ji 	包機	c=1 d=8.59433e-248 t=239737
